season,title,rating,votes,double,episode,month,director,writer
6,Mafia,7.6,3582,0,6,10,,
6,The Lover,8.6,3766,0,7,10,,
6,Koi Pond,8.1,3410,0,8,10,,
6,Double Date,8.1,3369,0,9,11,,
6,Murder,8.7,4090,0,10,11,,
6,Shareholder Meeting,8.2,3403,0,11,11,,
6,Scott's Tots,8.3,3918,0,12,12,,
6,Secret Santa,8.5,3587,0,13,12,,
6,The Banker,6.8,4380,0,14,1,,
6,Sabre,7.6,3267,0,15,2,,
6,Manager and Salesman,8.0,3226,0,16,2,,
6,The Delivery,8.5,3438,1,17,3,,
6,St. Patrick's Day,7.6,3180,0,19,3,,
6,New Leads,7.7,3158,0,20,3,,
6,Happy Hour,8.6,3613,0,21,3,,
6,Secretary's Day,7.8,3159,0,22,4,,
6,Body Language,7.9,3175,0,23,4,,
6,The Cover-Up,8.1,3168,0,24,5,,
6,The Chump,7.7,3064,0,25,5,,
6,Whistleblower,8.0,3161,0,26,5,,
7,Nepotism,8.3,3627,0,1,9,,
7,Counseling,8.2,3288,0,2,9,,
7,Andy's Play,8.2,3512,0,3,10,,
7,Sex Ed,7.8,3233,0,4,10,,
7,The Sting,7.7,3149,0,5,10,,
7,Costume Contest,8.2,3278,0,6,10,,
7,Christening,7.4,3267,0,7,11,,
7,Viewing Party,7.8,3216,0,8,11,,
7,WUPHF.com,7.7,3115,0,9,11,,
7,China,8.2,3299,0,10,12,,
7,Classy Christmas,9.0,4190,1,11,12,,
7,Ultimatum,8.3,3332,0,13,1,,
7,The Seminar,7.6,3167,0,14,1,,
7,The Search,8.5,3505,0,15,2,,
7,PDA,8.4,3413,0,16,2,,
7,Threat Level Midnight,9.4,7272,0,17,2,,
7,Todd Packer,7.4,3117,0,18,2,,
7,Garage Sale,9.4,5573,0,19,3,,
7,Training Day,7.7,3232,0,20,4,,
7,Michael's Last Dundies,9.0,4576,0,21,4,,
7,"Goodbye, Michael",9.8,12236,0,22,4,,
7,The Inner Circle,7.5,3214,0,23,5,,
7,"Dwight K. Schrute, (Acting) Manager",8.7,3528,0,24,5,,
7,Search Committee,8.7,3719,1,25,5,,
8,The List,8.1,3377,0,1,9,,
8,The Incentive,8.1,3202,0,2,9,,
8,Lotto,7.2,3050,0,3,10,,
8,Garden Party,8.1,3348,0,4,10,,
8,Spooked,7.5,2992,0,5,10,,
8,Doomsday,7.6,2882,0,6,11,,
8,Pam's Replacement,7.7,3079,0,7,11,,
8,Gettysburg,6.8,3102,0,8,11,,
8,Mrs. California,7.6,3020,0,9,12,,
8,Christmas Wishes,7.9,2950,0,10,12,,
8,Trivia,7.9,2916,0,11,1,,
